vazao,vazao_calc,chuva_media
21.691,0.0,1.52
18.181,0.0,1.457
17.771,0.0,1.186
16.578,0.0,0.323
14.004,0.0,0.585
12.022,0.0,0.076
12.339,0.0,0.415
12.988,0.0,1.848
8.144,0.0,0.533
8.144,0.0,0.441
7.215,0.0,1.555
6.566,0.0,0.43
6.156,0.0,0.367
5.957,0.0,0.78
5.957,0.0,0.101
5.573,0.0,0.373
5.387,0.0,0.118
5.205,0.0,0.413
4.855,0.0,0.533
4.359,0.0,1.372
4.359,0.0,0.463
4.047,0.0,0.24
4.047,0.0,1.245
4.359,0.0,1.872
4.52,0.0,2.984
4.52,0.0,1.525
4.52,0.0,2.688
5.028,0.0,0.121
5.205,0.0,0.046
5.028,0.0,0.123
4.855,0.0,0.321
4.685,0.0,0.709
4.52,0.0,0.939
4.201,0.0,0.697
4.201,0.0,0.676
3.897,0.0,0.97
3.897,0.0,1.103
3.897,0.0,0.26
3.751,0.0,0.765
3.751,0.0045309076,4.445
3.751,0.0,2.925
3.751,0.0,0.821
3.609,0.0,1.048
3.897,0.0,0.279
3.751,0.0,0.17
3.751,0.0,0.544
3.897,0.0,1.299
4.201,0.0,1.472
4.047,0.0,0.563
3.897,0.0,0.141
3.897,0.0,0.123
3.751,0.0,0.005
3.47,0.0,0.323
3.47,0.0,0.0
3.47,0.0,0.033
3.47,0.0,0.075
3.335,0.0,0.292
3.335,0.0,0.013
3.203,0.0,0.042
2.951,0.0,0.075
2.711,0.0,0.0
2.951,0.0,0.007
2.829,0.0,0.0
2.829,0.0,0.0
2.711,0.0,0.018
2.597,0.0,0.044
2.486,0.0,0.077
2.486,0.0,0.413
2.486,0.0,0.257
2.378,0.0,0.082
2.378,0.0,0.02
2.378,0.0,0.0
2.273,0.0,0.0
2.273,0.0,0.0
2.273,0.0,0.006
2.273,0.0,0.0
2.273,0.0,0.049
2.273,0.0,0.0
2.171,0.0,0.119
2.171,0.0,0.004
2.171,0.0,0.0
2.072,0.0,0.0
2.072,0.0,0.0
1.977,0.0,0.022
1.884,0.0,0.042
1.884,0.0,0.006
1.884,0.0,0.007
1.884,0.0,0.177
1.884,0.0,0.003
1.794,0.0,0.0
1.794,0.0,0.078
1.794,0.0,0.0
1.794,0.0,0.005
1.794,0.0,0.0
1.624,0.0,0.0
1.624,0.0,0.166
1.624,0.0,0.922
1.624,0.0,0.067
1.624,0.0,0.0
1.464,0.0,0.0
1.464,0.0,0.0
1.464,0.0,0.082
1.464,0.0,0.262
1.464,0.0,0.227
1.177,0.0,0.001
1.177,0.0,0.007
1.245,0.0,0.005
1.315,0.0,0.3
1.315,0.0,0.41
1.315,0.0,0.142
1.315,0.0,0.772
1.245,0.0,3.079
1.245,0.0,0.499
1.177,0.0,0.34
1.177,0.0,0.0
1.177,0.0,0.0
1.177,0.0,0.001
1.177,0.0,0.221
1.177,0.0,0.0
1.177,0.0,0.0
1.112,0.0,0.0
1.112,0.0,0.0
